id,account_id,account_type,account_status,account_balance,cust_lat,cust_lon,transaction_id,transaction_amount,transaction_date,transaction_type,transaction_channel,transaction_limit,terminal_id,terminal_network,ip,country,transaction_status
1,10110658755,Tabungan,Active,10000000,-98.8375,-6.93649,d2bcaf3c-3c99-4ce2-b60a-6a08854fae2b,2500000,2022-12-30 20:26:16,11001,Mobile Banking,100000000,1,117,6.88736,Indonesia,51
2,10110658755,Tabungan,Active,50000000,-98.8375,-6.93649,f81bc473-1ac9-4ef6-9668-b13bcc9de919,2500000,2022-12-30 20:27:13,11001,Mobile Banking,100000000,1,117,6.88736,Indonesia,51
3,10110658755,Tabungan,Active,2000000,-98.8375,-6.93649,bac1a35d-b062-4db7-9866-896c0a03e6e1,2500000,2022-12-30 20:28:58,11001,Mobile Banking,100000000,1,117,6.88736,Indonesia,51
4,10110658755,Tabungan,Active,500000,-98.8375,-6.93649,34ce2142-b6d4-48bb-890d-d3847cbc245e,2500000,2022-12-30 20:29:44,11001,Mobile Banking,100000000,1,117,6.88736,Indonesia,51
5,10110658755,Tabungan,Active,10000000,-98.8375,-6.93649,6f0ddadf-d44f-4b54-acb9-12c22c15bab8,2500000,2022-12-30 20:30:52,11001,Mobile Banking,100000000,4,417,6.88736,Indonesia,51
6,10110658755,Tabungan,Active,10000000,-98.8375,-6.93649,f6fc4e5c-98ee-46a4-8a30-75838584dd72,2500000,2022-12-30 20:32:25,11001,Mobile Banking,100000000,4,417,6.88736,Indonesia,51
7,10110658755,Tabungan,Active,10000000,-98.8375,-6.93649,f9ea05a1-ceba-4c8c-a35b-81bc2461d924,2500000,2022-12-30 20:33:03,11001,Mobile Banking,100000000,4,417,6.88736,Indonesia,51
8,10110658755,Tabungan,Active,10000000,-98.8375,-6.93649,67e711a9-75d0-478a-9a98-f27940349b67,2500000,2022-12-30 20:33:50,11001,Mobile Banking,100000000,4,417,6.88736,Indonesia,51
9,10110658844,Tabungan,Active,10000000,-98.8375,-6.93649,42c5b209-59cb-46f2-8843-0295924a7e52,2500000,2022-11-30 3:34:49,11001,Mobile Banking,100000000,2,217,6.88736,Indonesia,51
10,10110658844,Tabungan,Active,10000000,-98.8375,-6.93649,46d729cf-5ab0-4b17-9eb6-101c18ddaf5f,2500000,2022-11-30 4:51:11,11001,Mobile Banking,100000000,3,317,6.88736,Indonesia,51
11,10110658844,Tabungan,Active,10000000,-98.8375,-6.93649,bb1f22ef-052f-46c2-a17f-dbb7137967a7,2500000,2022-11-30 4:51:51,11001,Mobile Banking,100000000,2,217,6.88736,Indonesia,51
12,10110658844,Tabungan,Active,10000000,-98.8375,-6.93649,b52efd0e-20e9-4db0-bdaf-0917520ac926,2500000,2022-12-01 5:16:00,11001,Mobile Banking,100000000,1,117,6.88736,Indonesia,51
